,date,user,message,datetime,year,month_num,month,day_name,period,only_date
34,"10/7/23, 4:19 PM",Amn,Opportunities,2023-10-07 16:19:00,2023,10,October,Saturday,PM,2023-10-07
35,"10/7/23, 4:19 PM",Gaurav MNF,Sabme,2023-10-07 16:19:00,2023,10,October,Saturday,PM,2023-10-07
36,"10/7/23, 4:20 PM",Gaurav MNF,Thode thode changes hai,2023-10-07 16:20:00,2023,10,October,Saturday,PM,2023-10-07
37,"10/7/23, 4:20 PM",Amn,Theek hai aya 15 mins me,2023-10-07 16:20:00,2023,10,October,Saturday,PM,2023-10-07
38,"10/12/23, 1:05 PM",Amn,bhai homepage ke issues deploy hogaye hai,2023-10-12 13:05:00,2023,10,October,Thursday,PM,2023-10-12
39,"10/12/23, 1:05 PM",Amn,tetst krke close krdo,2023-10-12 13:05:00,2023,10,October,Thursday,PM,2023-10-12
40,"10/12/23, 2:31 PM",Gaurav MNF,Ok,2023-10-12 14:31:00,2023,10,October,Thursday,PM,2023-10-12
41,"10/19/23, 10:48 AM",Amn,bhai presmise pool ka audio change krdia hai,2023-10-19 10:48:00,2023,10,October,Thursday,AM,2023-10-19
42,"10/19/23, 12:33 PM",Amn,refer your friends ka bhi done,2023-10-19 12:33:00,2023,10,October,Thursday,PM,2023-10-19
43,"10/19/23, 12:59 PM",Gaurav MNF,Nh hua,2023-10-19 12:59:00,2023,10,October,Thursday,PM,2023-10-19
44,"10/19/23, 12:59 PM",Gaurav MNF,null,2023-10-19 12:59:00,2023,10,October,Thursday,PM,2023-10-19
45,"10/20/23, 8:50 AM",Gaurav MNF,null,2023-10-20 08:50:00,2023,10,October,Friday,AM,2023-10-20
46,"10/20/23, 8:56 AM",Amn,null,2023-10-20 08:56:00,2023,10,October,Friday,AM,2023-10-20
47,"10/20/23, 8:57 AM",Gaurav MNF,null,2023-10-20 08:57:00,2023,10,October,Friday,AM,2023-10-20
48,"10/20/23, 12:16 PM",Amn,subtitle hub ka zhala,2023-10-20 12:16:00,2023,10,October,Friday,PM,2023-10-20
49,"10/20/23, 12:16 PM",Amn,offerings.html me bhi changes krna pade toh woh bhi deploy krwa dena,2023-10-20 12:16:00,2023,10,October,Friday,PM,2023-10-20
50,"10/20/23, 12:39 PM",Gaurav MNF,Ok,2023-10-20 12:39:00,2023,10,October,Friday,PM,2023-10-20
51,"10/20/23, 5:26 PM",Gaurav MNF,null,2023-10-20 17:26:00,2023,10,October,Friday,PM,2023-10-20
52,"10/31/23, 3:59 PM",Amn,1446 test krlo on taj,2023-10-31 15:59:00,2023,10,October,Tuesday,PM,2023-10-31
53,"10/31/23, 4:17 PM",Gaurav MNF,Ok.. Deploy krlo,2023-10-31 16:17:00,2023,10,October,Tuesday,PM,2023-10-31
54,"10/31/23, 4:21 PM",Amn,theek,2023-10-31 16:21:00,2023,10,October,Tuesday,PM,2023-10-31
55,"11/10/23, 3:29 PM",Amn,<Media omitted>,2023-11-10 15:29:00,2023,11,November,Friday,PM,2023-11-10
